Anno;Provincia;Tipo rifiuti;Quantita di rifiuti 
2010;BELLUNO;SPECIALI NP;187218.64
2010;TREVISO;PERICOLOSI;206444.26
2010;TREVISO;SPECIALI NP;1004387.13
2010;CITTA' METROPOLITANA DI VENEZIA;PERICOLOSI;253124.00
2010;CITTA' METROPOLITANA DI VENEZIA;SPECIALI NP;1843345.28
2010;PADOVA;PERICOLOSI;134189.27
2010;PADOVA;SPECIALI NP;1345950.58
2010;ROVIGO;PERICOLOSI;31508.23
2010;ROVIGO;SPECIALI NP;241008.48

